"","Description","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1286","XCL2",0.0179911838288671,-2.41934026183533,0.0280749347515442,0.977639714841817,0.995148464420408,-5.27582534324359
"9069","TRIM34",-0.0174913455585464,-2.06664481141316,-0.0279319685727601,0.97775355038914,0.995166022371651,-5.30803371278463
"3740","SMC4",-0.00598864071481842,5.15316893871925,-0.0279071611370504,0.977773303135672,0.995166022371651,-6.39899121758697
"16799","GJB1",0.0199875649844601,0.804599888787296,0.027825370614248,0.977838428362718,0.99517297045821,-5.92294902321101
"10044","KLRG1",-0.0104567725216446,0.0951237756430177,-0.0277524766778223,0.977896469860473,0.99517297045821,-5.67223241286424
"3719","METTL15P1",-0.0174248378020971,-2.20186175244842,-0.027630295387219,0.977993756476683,0.9952127757437,-5.30671025517145
"11856","EID1",-0.00495273390466444,6.88280435556096,-0.0274679089370221,0.97812305688488,0.995285151798402,-6.43393396339528
"1345","ANGPTL1",-0.00799165368924015,2.77912815357782,-0.0273657421625103,0.978204407600936,0.995308731131011,-6.22893654553864
"12696","CX3CL1",0.0100525962998477,4.7033680328693,0.0271942035733521,0.978340996425352,0.995379815992703,-6.40201514378336
"842","CYB561D1",-0.00578078241403901,3.74936602776735,-0.027131863734093,0.978390635125865,0.995379815992703,-6.21646247977066
"11058","BIVM",0.00519238760296847,4.55763549235175,0.026878787666741,0.978592150260462,0.995485959128488,-6.34649363655106
"12193","LYSMD4",-0.00628809623510174,2.94688313584144,-0.0268546839063834,0.978611343267648,0.995485959128488,-6.02891269832233
"16222","ZNRF3",0.00535152466113331,3.64801369246741,0.0266989811854186,0.978735324366409,0.995547302169589,-6.20920523798244
"3416","PROS1",-0.00870662340803108,5.69875560431068,-0.0266327901776938,0.978788030307019,0.995547302169589,-6.44041611800687
"6720","TECPR1",0.00443136125463184,5.3065263609249,0.0264838310746203,0.978906642374273,0.995601808509262,-6.40319876832665
"6698","TFPI2",0.0131696371540304,2.7059402138263,0.0264193220713073,0.978958009278864,0.995601808509262,-6.13008828217151
"15720","ZFP64",0.00309760796052494,3.97307857206293,0.026110183147137,0.979204170085329,0.995716278007373,-6.29031267456126
"6795","AP1S1",0.0043892501070637,5.76524432252971,0.026089448480454,0.979220680735015,0.995716278007373,-6.42727909982593
"8238","C9orf69",-0.00465669974800154,5.80961717061865,-0.0260586933339731,0.979245170532736,0.995716278007373,-6.4225381767143
"14754","CTD-2561J22.2",0.0128581678961397,-1.11334422299854,0.0258222319589921,0.979433461344117,0.995774431012474,-5.40836863612886
"3393","EIF4E3",0.00470756330571209,5.25778913407586,0.0257854529087134,0.97946274808017,0.995774431012474,-6.4183185019058
"3208","CAMP",-0.015466467396593,-0.0755653765764599,-0.0257675836830941,0.979476977149749,0.995774431012474,-5.56262668206353
"4661","PTGER4",-0.00606289875395616,2.27805532140625,-0.0256188360730864,0.979595423505714,0.995835670885718,-6.07570968069706
"10369","CNPY2",-0.00338127462280369,6.80352615576036,-0.0253646735407955,0.979797811846364,0.99598223203016,-6.43172692347124
"16751","FAM104B",0.00365186294788522,4.23406623805052,0.0252869498969762,0.979859703054193,0.995985966362732,-6.31069293931084
"7040","GIMAP5",0.00577276095942203,4.2929367490859,0.0251598170432082,0.979960938997212,0.996029690135712,-6.37474007678376
"2094","PAIP2B",0.00600737788268013,3.29252067767046,0.025017448153465,0.980074307788695,0.996066316228127,-6.19593395124503
"11547","ATG2B",0.00295439807820763,5.5825217905121,0.024898785332694,0.980168799674114,0.996066316228127,-6.41957703954906
"3627","IL20RB",-0.010414562796049,0.882551749605397,-0.024610175603222,0.980398622428954,0.996066316228127,-5.60690255823022
"1658","TSNAX",-0.00405722065306691,6.44539985948071,-0.0245141725749555,0.98047507094599,0.996066316228127,-6.43159375395495
"12503","SCNN1G",0.0229035075346751,1.02121343943812,0.0245116538170309,0.980477076669621,0.996066316228127,-5.70370318399414
"11392","SMOC1",0.017776882765409,1.78470808330274,0.0244798632526588,0.980502391969902,0.996066316228127,-5.9911379530578
"5270","PWWP2A",-0.00312274182907579,4.68133865138784,-0.0243496741607284,0.980606063691046,0.996066316228127,-6.38499413359689
"7262","TACC1",-0.00507521440906977,6.59365262504825,-0.0243457901850636,0.980609156570018,0.996066316228127,-6.44988345147729
"2962","ITPR1-AS1",-0.0128863113788629,-1.63416489863076,-0.024286499794619,0.980656370600058,0.996066316228127,-5.33821800724173
"15281","LILRB2",-0.00790682681638533,2.41422110462319,-0.0242567116651877,0.980680091462062,0.996066316228127,-5.99836081488394
"13953","SLC38A10",0.00514699076111302,7.13657815971564,0.0241466870075679,0.980767706368416,0.996066316228127,-6.43013878904101
"14357","ZBTB7A",-0.0034171252396904,5.74199133985167,-0.0241201911629056,0.980788805591584,0.996066316228127,-6.41769940096219
"8048","ATP6V1G1",0.00445242094390608,7.90676281166063,0.0240962644243948,0.98080785899075,0.996066316228127,-6.42882461955814
"15214","JOSD2",0.00477672946631502,4.5819350037114,0.0240349678266926,0.980856670898379,0.996066316228127,-6.34134697701173
"13598","CRHR1",0.0226307188316914,-3.03462062275533,0.0240178427437454,0.980870308013517,0.996066316228127,-5.24362110501143
"6516","SEPT7P2",0.00341978216686822,3.93482493828214,0.0238985289618842,0.980965320602119,0.996103674315114,-6.26871444964714
"13239","USP32P2",0.0134959493257645,0.0192731015987906,0.023802833467691,0.98104152554678,0.996106641222855,-5.53777553265334
"1724","ACP1",-0.00345636486064205,6.82377133733331,-0.0237486270986037,0.981084691641636,0.996106641222855,-6.43153626333068
"12385","SEPT12",0.0158805155399295,-2.49139155201109,0.0235646294528565,0.981231214689335,0.996182686387787,-5.26224961413801
"10467","RAB3IP",-0.00558036693011132,5.11124055028921,-0.0233006714150649,0.981441413799564,0.996182686387787,-6.38669165745349
"15755","SYCP2",-0.00794431327683309,4.69145122896071,-0.0232705710738302,0.981465383847574,0.996182686387787,-6.34296040260848
